data_type,time_total,time_increment,time_iosix,sensor_data
obd,11.2158,0.0101,2021-12-06 09:05:28.215800,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,11.226,0.0102,2021-12-06 09:05:28.226000,"{""rpm"": 688.5}"
obd,12.1658,0.0058,2021-12-06 09:05:29.165800,"{""veh_speed"": 0}"
obd,12.1757,0.0099,2021-12-06 09:05:29.175700,"{""aat"": 2}"
obd,12.1858,0.0101,2021-12-06 09:05:29.185800,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,12.1958,0.01,2021-12-06 09:05:29.195800,"{""e_load"": 27.059}"
obd,12.2058,0.01,2021-12-06 09:05:29.205800,"{""c_temp"": 16}"
obd,12.2157,0.0099,2021-12-06 09:05:29.215700,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,12.226,0.0103,2021-12-06 09:05:29.226000,"{""rpm"": 679.5}"
obd,13.1656,0.0046,2021-12-06 09:05:30.165600,"{""veh_speed"": 0}"
obd,13.1757,0.0101,2021-12-06 09:05:30.175700,"{""aat"": 2}"
obd,13.1856,0.0099,2021-12-06 09:05:30.185600,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,13.1957,0.0101,2021-12-06 09:05:30.195700,"{""e_load"": 29.02}"
obd,13.2056,0.0099,2021-12-06 09:05:30.205600,"{""c_temp"": 17}"
obd,13.2156,0.01,2021-12-06 09:05:30.215600,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,13.2258,0.0102,2021-12-06 09:05:30.225800,"{""rpm"": 670.5}"
obd,14.1656,0.0056,2021-12-06 09:05:31.165600,"{""veh_speed"": 0}"
obd,14.1757,0.0101,2021-12-06 09:05:31.175700,"{""aat"": 2}"
obd,14.1856,0.0099,2021-12-06 09:05:31.185600,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,14.1957,0.0101,2021-12-06 09:05:31.195700,"{""e_load"": 25.882}"
obd,14.2056,0.0099,2021-12-06 09:05:31.205600,"{""c_temp"": 17}"
obd,14.2156,0.01,2021-12-06 09:05:31.215600,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,14.2257,0.0101,2021-12-06 09:05:31.225700,"{""rpm"": 700.5}"
obd,15.1655,0.0055,2021-12-06 09:05:32.165500,"{""veh_speed"": 0}"
obd,15.1756,0.0101,2021-12-06 09:05:32.175600,"{""aat"": 2}"
obd,15.1855,0.0099,2021-12-06 09:05:32.185500,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,15.1955,0.01,2021-12-06 09:05:32.195500,"{""e_load"": 28.235}"
obd,15.2055,0.01,2021-12-06 09:05:32.205500,"{""c_temp"": 17}"
obd,15.2155,0.01,2021-12-06 09:05:32.215500,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,15.2257,0.0102,2021-12-06 09:05:32.225700,"{""rpm"": 678.0}"
obd,16.1654,0.0054,2021-12-06 09:05:33.165400,"{""veh_speed"": 0}"
obd,16.1753,0.0099,2021-12-06 09:05:33.175300,"{""aat"": 2}"
obd,16.1853,0.01,2021-12-06 09:05:33.185300,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,16.1954,0.0101,2021-12-06 09:05:33.195400,"{""e_load"": 28.627}"
obd,16.2054,0.01,2021-12-06 09:05:33.205400,"{""c_temp"": 17}"
obd,16.2155,0.0101,2021-12-06 09:05:33.215500,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,16.2256,0.0101,2021-12-06 09:05:33.225600,"{""rpm"": 683.5}"
obd,17.1653,0.0053,2021-12-06 09:05:34.165300,"{""veh_speed"": 0}"
obd,17.1754,0.0101,2021-12-06 09:05:34.175400,"{""aat"": 2}"
obd,17.1854,0.01,2021-12-06 09:05:34.185400,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,17.1954,0.01,2021-12-06 09:05:34.195400,"{""e_load"": 27.451}"
obd,17.2052,0.0098,2021-12-06 09:05:34.205200,"{""c_temp"": 17}"
obd,17.2154,0.0102,2021-12-06 09:05:34.215400,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,17.2252,0.0098,2021-12-06 09:05:34.225200,"{""rpm"": 685.0}"
obd,18.1653,0.0053,2021-12-06 09:05:35.165300,"{""veh_speed"": 0}"
obd,18.1754,0.0101,2021-12-06 09:05:35.175400,"{""aat"": 2}"
obd,18.1853,0.0099,2021-12-06 09:05:35.185300,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,18.1953,0.01,2021-12-06 09:05:35.195300,"{""e_load"": 27.059}"
obd,18.2052,0.0099,2021-12-06 09:05:35.205200,"{""c_temp"": 17}"
obd,18.2154,0.0102,2021-12-06 09:05:35.215400,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,18.2253,0.0099,2021-12-06 09:05:35.225300,"{""rpm"": 685.5}"
obd,19.1651,0.0051,2021-12-06 09:05:36.165100,"{""veh_speed"": 0}"
obd,19.1753,0.0102,2021-12-06 09:05:36.175300,"{""aat"": 2}"
obd,19.1853,0.01,2021-12-06 09:05:36.185300,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
