data_type,time_total,time_increment,time_iosix,sensor_data
obd,14.4671,0.0099,2021-12-06 12:01:05.467100,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,14.4771,0.01,2021-12-06 12:01:05.477100,"{""rpm"": 1940.0}"
obd,15.417,0.005,2021-12-06 12:01:06.417000,"{""veh_speed"": 42}"
obd,15.427,0.01,2021-12-06 12:01:06.427000,"{""aat"": 2}"
obd,15.4374,0.0104,2021-12-06 12:01:06.437400,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,15.447,0.0096,2021-12-06 12:01:06.447000,"{""e_load"": 3.529}"
obd,15.457,0.01,2021-12-06 12:01:06.457000,"{""c_temp"": 74}"
obd,15.4674,0.0104,2021-12-06 12:01:06.467400,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,15.477,0.0096,2021-12-06 12:01:06.477000,"{""rpm"": 1658.0}"
obd,16.417,0.005,2021-12-06 12:01:07.417000,"{""veh_speed"": 43}"
obd,16.4272,0.0102,2021-12-06 12:01:07.427200,"{""aat"": 2}"
obd,16.437,0.0098,2021-12-06 12:01:07.437000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,16.447,0.01,2021-12-06 12:01:07.447000,"{""e_load"": 0.0}"
obd,16.4572,0.0102,2021-12-06 12:01:07.457200,"{""c_temp"": 74}"
obd,16.467,0.0098,2021-12-06 12:01:07.467000,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,16.477,0.01,2021-12-06 12:01:07.477000,"{""rpm"": 1297.5}"
obd,17.4169,0.0049,2021-12-06 12:01:08.416900,"{""veh_speed"": 43}"
obd,17.4269,0.01,2021-12-06 12:01:08.426900,"{""aat"": 2}"
obd,17.4369,0.01,2021-12-06 12:01:08.436900,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,17.4469,0.01,2021-12-06 12:01:08.446900,"{""e_load"": 0.0}"
obd,17.4569,0.01,2021-12-06 12:01:08.456900,"{""c_temp"": 74}"
obd,17.4669,0.01,2021-12-06 12:01:08.466900,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,17.4768,0.0099,2021-12-06 12:01:08.476800,"{""rpm"": 1315.0}"
obd,18.4167,0.0047,2021-12-06 12:01:09.416700,"{""veh_speed"": 43}"
obd,18.4268,0.0101,2021-12-06 12:01:09.426800,"{""aat"": 2}"
obd,18.4368,0.01,2021-12-06 12:01:09.436800,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,18.4468,0.01,2021-12-06 12:01:09.446800,"{""e_load"": 2.353}"
obd,18.4568,0.01,2021-12-06 12:01:09.456800,"{""c_temp"": 74}"
obd,18.4668,0.01,2021-12-06 12:01:09.466800,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,18.4767,0.0099,2021-12-06 12:01:09.476700,"{""rpm"": 1314.0}"
obd,19.4168,0.0048,2021-12-06 12:01:10.416800,"{""veh_speed"": 43}"
obd,19.4271,0.0103,2021-12-06 12:01:10.427100,"{""aat"": 2}"
obd,19.4369,0.0098,2021-12-06 12:01:10.436900,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,19.4468,0.0099,2021-12-06 12:01:10.446800,"{""e_load"": 0.392}"
obd,19.4572,0.0104,2021-12-06 12:01:10.457200,"{""c_temp"": 74}"
obd,19.4668,0.0096,2021-12-06 12:01:10.466800,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,19.4768,0.01,2021-12-06 12:01:10.476800,"{""rpm"": 1329.5}"
obd,20.4166,0.0036,2021-12-06 12:01:11.416600,"{""veh_speed"": 44}"
obd,20.4267,0.0101,2021-12-06 12:01:11.426700,"{""aat"": 2}"
obd,20.4367,0.01,2021-12-06 12:01:11.436700,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,20.4467,0.01,2021-12-06 12:01:11.446700,"{""e_load"": 0.0}"
obd,20.4567,0.01,2021-12-06 12:01:11.456700,"{""c_temp"": 74}"
obd,20.4666,0.0099,2021-12-06 12:01:11.466600,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,20.4766,0.01,2021-12-06 12:01:11.476600,"{""rpm"": 1327.5}"
obd,21.4165,0.0045,2021-12-06 12:01:12.416500,"{""veh_speed"": 44}"
obd,21.4266,0.0101,2021-12-06 12:01:12.426600,"{""aat"": 2}"
obd,21.4366,0.01,2021-12-06 12:01:12.436600,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,21.4465,0.0099,2021-12-06 12:01:12.446500,"{""e_load"": 0.0}"
obd,21.4566,0.0101,2021-12-06 12:01:12.456600,"{""c_temp"": 74}"
